n,SGD,Bayes,split
0,0.90007013,0.90007,
1,1.50567158,1.14209714,
2,1.7454138300000002,1.30245564,
3,1.92217068,1.37187276,
4,2.03986915,1.4191893,
5,2.11801188,1.43797302,
6,2.16912766,1.4428159200000001,
7,2.20412144,1.45790552,
8,2.22901821,1.45652643,
9,2.2459454,1.4522513000000001,
10,2.25327465,1.44102706,
11,2.25554916,1.44352164,
12,2.25441034,1.43731016,
13,2.25103942,1.43730006,
14,2.24755485,1.44250785,
15,2.24528032,1.4517776,
16,2.24182094,1.4550629800000001,3.44470609
17,2.23735122,1.4586732,3.56738868
18,2.2320003,1.46565487,3.6950196799999997
19,2.2260284,1.4680786000000001,3.8198682
20,2.21911914,1.47079569,3.94777509
21,2.2130330199999997,1.4769213799999998,4.07614878
22,2.20793652,1.47837537,4.21303627
23,2.20213296,1.4812235999999999,4.3331623200000005
24,2.195751,1.48469575,4.45553175
25,2.19101766,1.48478902,4.58866434
26,2.18671029,1.48185126,4.7227970699999995
27,2.1818815199999997,1.48180928,4.8535267200000005
28,2.1766965,1.48159173,4.98186708
29,2.1716583000000003,1.4922138,5.1169251
30,2.16626047,1.4967841599999998,5.25225126
31,2.16133312,1.50010592,5.37571712
32,2.15700474,1.50008562,5.5158011700000005
33,2.15291774,1.5125274,5.6513763
34,2.1490749,1.51195205,5.7876616
35,2.14482852,1.50479028,5.9123728799999995
36,2.1407053,1.4966585099999998,6.04470887
37,2.1360997,1.49042422,6.175620159999999
38,2.13072288,1.48125744,6.29963217
39,2.1251552,1.4760887999999999,6.4262032
40,2.12008007,1.4891913399999999,6.56667521
41,2.11478148,1.48243158,6.68767848
42,2.10929878,1.4783946099999998,6.81972303
43,2.10432552,1.4786076799999999,6.960298400000001
44,2.0994012,1.4867955,7.0961715
45,2.0951182999999998,1.4901189400000001,7.2242434200000005
46,2.09061734,1.4882639300000002,7.3578171
47,2.0863224,1.4933961599999999,7.495007520000001
48,2.08163368,1.49269827,3.0450373799999997
49,2.0770805,1.4951105,3.0789875
50,2.07231717,1.4925802799999999,3.10758045
51,2.06769524,1.49180512,3.143868
52,2.06312888,1.48822251,3.17902215
53,2.05876998,1.49205726,3.21314418
54,2.0545359999999997,1.4884067,3.2456809
55,2.05039016,1.49141104,3.288278
56,2.04610392,1.48791888,3.31912596
57,2.04214868,1.48993474,3.35118316
58,2.03833908,1.49352128,3.3875794
59,2.0346726,1.4923104,3.4246788
60,2.03082969,1.4889178900000002,3.45965648
61,2.02710054,1.4876807,3.49038052
62,2.02370805,1.4990295599999999,3.52681182
63,2.02075264,1.49995136,3.56330176
64,2.0175733499999997,1.4972379500000002,3.5969609
65,2.01421836,1.4926810799999999,3.62588358
66,2.01119595,1.49477737,3.66105554
67,2.00820048,1.4960646,3.6917261199999998
68,2.0050627199999997,1.49372028,3.71944362
69,2.0021092,1.4963172,3.7555308
70,1.99960708,1.50349103,3.79402274
71,1.99711296,1.5031130400000001,3.83261256
72,1.9948184400000002,1.50860413,3.864328
73,1.99221098,1.5026166200000002,3.89755188
